																Vergleich der Annotator:innen										Vergleich der Annotator:innen mit Goldstandard von Alina			
mit	O	mit	0	mit	0	0	0	mit	0	mit	0	0	0	mit	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einem	O	einem	0	einem	0	0	0	einem	0	einem	0	0	0	einem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ruck	O	Ruck	0	Ruck	0	0	0	Ruck	0	Ruck	0	0	0	Ruck	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
aufgerichtet	O	aufgerichtet	0	aufgerichtet	0	0	0	aufgerichtet	0	aufgerichtet	0	0	0	aufgerichtet	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
:	O	:	0	:	0	0	0	:	0	:	0	0	0	:	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Schlechter	O	Schlechter	0	Schlechter	0	0	0	Schlechter	0	Schlechter	0	0	0	Schlechter	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Kerl	O	Kerl	0	Kerl	0	0	0	Kerl	0	Kerl	0	0	0	Kerl	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
!	O	!	0	!	0	0	0	!	0	!	0	0	0	!	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Miserabler	O	Miserabler	0	Miserabler	0	0	0	Miserabler	0	Miserabler	0	0	0	Miserabler	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Mensch	O	Mensch	0	Mensch	0	0	0	Mensch	0	Mensch	0	0	0	Mensch	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
…	O	…	0	…	0	0	0	…	0	…	0	0	0	…	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ach	O	Ach	0	Ach	0	0	0	Ach	0	Ach	0	0	0	Ach	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
daß	O	daß	0	daß	0	0	0	daß	0	daß	0	0	0	daß	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sie	O	sie	0	sie	0	0	0	sie	0	sie	0	0	0	sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
doch	O	doch	0	d0ch	0	0	0	d0ch	0	d0ch	0	0	0	d0ch	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nicht	O	nicht	0	nicht	0	0	0	nicht	0	nicht	0	0	0	nicht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zu	O	zu	0	zu	0	0	0	zu	0	zu	0	0	0	zu	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ihm	O	ihm	0	ihm	0	0	0	ihm	0	ihm	0	0	0	ihm	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gegangen	O	gegangen	0	gegangen	0	0	0	gegangen	0	gegangen	0	0	0	gegangen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wäre	O	wäre	0	wäre	0	0	0	wäre	0	wäre	0	0	0	wäre	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
!	O	!	0	!	0	0	0	!	0	!	0	0	0	!	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Also	O	Also	0	Als0	0	0	0	Als0	0	Als0	0	0	0	Als0	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
weiter	O	weiter	0	weiter	0	0	0	weiter	0	weiter	0	0	0	weiter	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herr	O	Herr	0	Herr	0	0	0	Herr	0	Herr	0	0	0	Herr	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ruppert	O	Ruppert	0	Ruppert	0	0	0	Ruppert	0	Ruppert	0	0	0	Ruppert	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
So	O	So	0	S0	0	0	0	S0	0	S0	0	0	0	S0	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gewohnt	O	gewohnt	0	gew0hnt	0	0	0	gew0hnt	0	gew0hnt	0	0	0	gew0hnt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Resel	O	Resel	0	Resel	0	0	0	Resel	0	Resel	0	0	0	Resel	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
an	O	an	0	an	0	0	0	an	0	an	0	0	0	an	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
seine	O	seine	0	seine	0	0	0	seine	0	seine	0	0	0	seine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ungleiche	O	ungleiche	0	ungleiche	0	0	0	ungleiche	0	ungleiche	0	0	0	ungleiche	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Laun	O	Laun	0	Laun	0	0	0	Laun	0	Laun	0	0	0	Laun	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
auch	O	auch	0	auch	0	0	0	auch	0	auch	0	0	0	auch	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
war	O	war	0	war	0	0	0	war	0	war	0	0	0	war	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
in	O	in	0	in	0	0	0	in	0	in	0	0	0	in	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
dem	O	dem	0	dem	0	0	0	dem	0	dem	0	0	0	dem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Augenblick	O	Augenblick	0	Augenblick	0	0	0	Augenblick	0	Augenblick	0	0	0	Augenblick	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ist	O	ist	0	ist	0	0	0	ist	0	ist	0	0	0	ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sie	O	sie	0	sie	0	0	0	sie	0	sie	0	0	0	sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ihr	O	ihr	0	ihr	0	0	0	ihr	0	ihr	0	0	0	ihr	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zuviel	O	zuviel	0	zuviel	0	0	0	zuviel	0	zuviel	0	0	0	zuviel	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geworden	O	geworden	0	gew0rden	0	0	0	gew0rden	0	gew0rden	0	0	0	gew0rden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sie	O	sie	0	sie	0	0	0	sie	0	sie	0	0	0	sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hat	O	hat	0	hat	0	0	0	hat	0	hat	0	0	0	hat	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ihm	O	ihm	0	ihm	0	0	0	ihm	0	ihm	0	0	0	ihm	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
paar	O	paar	0	paar	0	0	0	paar	0	paar	0	0	0	paar	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ernsthafte	sound_quality	ernsthafte	2	ernsthafte	0	2	2	ernsthafte	2	ernsthafte	0	2	2	ernsthafte	2	nÜ	nÜ	nÜ	Ü	Ü	nÜ	nÜ	Ü	Ü	nÜ	Ü	Ü	Ü	Ü
Worte	character_sound	Worte	1	W0rte	0	1	1	W0rte	1	W0rte	0	1	1	W0rte	1	nÜ	nÜ	nÜ	Ü	Ü	nÜ	nÜ	Ü	Ü	nÜ	Ü	Ü	Ü	Ü
gesagt	character_sound	gesagt	1	gesagt	1	1	1	gesagt	1	gesagt	0	1	1	gesagt	1	nÜ	Ü	Ü	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Gleich	O	Gleich	0	Gleich	0	0	0	Gleich	0	Gleich	0	0	0	Gleich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ist	O	ist	0	ist	0	0	0	ist	0	ist	0	0	0	ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Gifthahn	O	Gifthahn	0	Gifthahn	0	0	0	Gifthahn	0	Gifthahn	0	0	0	Gifthahn	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
beleidigt	O	beleidigt	0	beleidigt	0	0	0	beleidigt	0	beleidigt	0	0	0	beleidigt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
empfindliche	O	empfindliche	0	empfindliche	0	0	0	empfindliche	0	empfindliche	0	0	0	empfindliche	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Dalken	O	Dalken	0	Dalken	0	0	0	Dalken	0	Dalken	0	0	0	Dalken	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
muß	O	muß	0	muß	0	0	0	muß	0	muß	0	0	0	muß	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
natürlich	O	natürlich	0	natürlich	0	0	0	natürlich	0	natürlich	0	0	0	natürlich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gestraft	O	gestraft	0	gestraft	0	0	0	gestraft	0	gestraft	0	0	0	gestraft	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
werden	O	werden	0	werden	0	0	0	werden	0	werden	0	0	0	werden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
je	O	je	0	je	0	0	0	je	0	je	0	0	0	je	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
grausamer	O	grausamer	0	grausamer	0	0	0	grausamer	0	grausamer	0	0	0	grausamer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
je	O	je	0	je	0	0	0	je	0	je	0	0	0	je	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
besser	O	besser	0	besser	0	0	0	besser	0	besser	0	0	0	besser	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Werden	O	Werden	0	Werden	0	0	0	Werden	0	Werden	0	0	0	Werden	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nicht	O	nicht	0	nicht	0	0	0	nicht	0	nicht	0	0	0	nicht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wissen	O	wissen	0	wissen	0	0	0	wissen	0	wissen	0	0	0	wissen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
weil	O	weil	0	weil	0	0	0	weil	0	weil	0	0	0	weil	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
es	O	es	0	es	0	0	0	es	0	es	0	0	0	es	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
dergleichen	O	dergleichen	0	dergleichen	0	0	0	dergleichen	0	dergleichen	0	0	0	dergleichen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kaum	O	kaum	0	kaum	0	0	0	kaum	0	kaum	0	0	0	kaum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
geben	O	geben	0	geben	0	0	0	geben	0	geben	0	0	0	geben	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wird	O	wird	0	wird	0	0	0	wird	0	wird	0	0	0	wird	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
bei	O	bei	0	bei	0	0	0	bei	0	bei	0	0	0	bei	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
so	O	so	0	s0	0	0	0	s0	0	s0	0	0	0	s0	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hohe	O	hohe	0	h0he	0	0	0	h0he	0	h0he	0	0	0	h0he	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herrschaften	O	Herrschaften	0	Herrschaften	0	0	0	Herrschaften	0	Herrschaften	0	0	0	Herrschaften	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nämlich	O	nämlich	0	nämlich	0	0	0	nämlich	0	nämlich	0	0	0	nämlich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
;	O	;	0	;	0	0	0	;	0	;	0	0	0	;	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
aber	O	aber	0	aber	0	0	0	aber	0	aber	0	0	0	aber	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
unter	O	unter	0	unter	0	0	0	unter	0	unter	0	0	0	unter	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
uns	O	uns	0	uns	0	0	0	uns	0	uns	0	0	0	uns	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kommt	O	kommt	0	k0mmt	0	0	0	k0mmt	0	k0mmt	0	0	0	k0mmt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
s	O	s	0	s	0	0	0	s	0	s	0	0	0	s	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
vor	O	vor	0	v0r	0	0	0	v0r	0	v0r	0	0	0	v0r	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
daß	O	daß	0	daß	0	0	0	daß	0	daß	0	0	0	daß	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einer	O	einer	0	einer	0	0	0	einer	0	einer	0	0	0	einer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sein	O	sein	0	sein	0	0	0	sein	0	sein	0	0	0	sein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Liebstes	O	Liebstes	0	Liebstes	0	0	0	Liebstes	0	Liebstes	0	0	0	Liebstes	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ob	O	ob	0	0b	0	0	0	0b	0	0b	0	0	0	0b	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
es	O	es	0	es	0	0	0	es	0	es	0	0	0	es	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
jetzt	O	jetzt	0	jetzt	0	0	0	jetzt	0	jetzt	0	0	0	jetzt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Hund	O	Hund	0	Hund	0	0	0	Hund	0	Hund	0	0	0	Hund	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ist	O	ist	0	ist	0	0	0	ist	0	ist	0	0	0	ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Pferd	O	Pferd	0	Pferd	0	0	0	Pferd	0	Pferd	0	0	0	Pferd	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
oder	O	oder	0	0der	0	0	0	0der	0	0der	0	0	0	0der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Frauenzimmer	O	Frauenzimmer	0	Frauenzimmer	0	0	0	Frauenzimmer	0	Frauenzimmer	0	0	0	Frauenzimmer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
manchmal	O	manchmal	0	manchmal	0	0	0	manchmal	0	manchmal	0	0	0	manchmal	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
plagen	O	plagen	0	plagen	0	0	0	plagen	0	plagen	0	0	0	plagen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
muß	O	muß	0	muß	0	0	0	muß	0	muß	0	0	0	muß	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
bis	O	bis	0	bis	0	0	0	bis	0	bis	0	0	0	bis	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
aufs	O	aufs	0	aufs	0	0	0	aufs	0	aufs	0	0	0	aufs	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Blut	O	Blut	0	Blut	0	0	0	Blut	0	Blut	0	0	0	Blut	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
…	O	…	0	…	0	0	0	…	0	…	0	0	0	…	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ach	O	Ach	0	Ach	0	0	0	Ach	0	Ach	0	0	0	Ach	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ja	O	ja	0	ja	0	0	0	ja	0	ja	0	0	0	ja	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ich	O	ich	0	ich	0	0	0	ich	0	ich	0	0	0	ich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
kenne	O	kenne	0	kenne	0	0	0	kenne	0	kenne	0	0	0	kenne	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
